index,Pathway
0,VALSYN-PWY
1,ARG-PRO-PWY
2,PWY0-541
3,PWY-5971
4,PWY-6220
5,PLPSAL-PWY
6,PWY-7227
7,PWY-5943
8,PWY-82
9,PWYQT-4471
10,PWY-6959
11,PWY4FS-13
12,PWY-5947
13,PWY-5113
14,PWY-6546
15,PWY-6466
16,PWY4FS-6
17,PWYDQC-4
18,PWY-6927
19,HEXPPSYN-PWY
20,GLYOXYLATE-BYPASS
21,PWY-5725
22,PWY-5783
23,PWY-6823
24,HEME-BIOSYNTHESIS-II
25,PWY-5723
26,PWY-6605
27,PWY-1001
28,PWY0-1264
29,ASPARAGINESYN-PWY
30,PWY-6121
31,PWY-5884
32,PWY-5097
33,PWY-6118
34,PWY-5064
35,TRPSYN-PWY
36,PWY-6545
37,PWY-4984
38,PWY-6806
39,PWY-6936
40,PWY1F-823
41,PWY1F-467
42,GLUT-REDOX-PWY
43,ILEUSYN-PWY
44,PWY-3301
45,PWY-5350
46,ASPARTATE-DEG1-PWY
47,PWY-5659
48,PWY3O-450
49,PWY-641
50,PWY-6606
51,PWY-6064
52,P401-PWY
53,PWY-7204
54,SULFMETII-PWY
55,PWY-6535
56,GLUTORN-PWY
57,PWY-6333
58,BSUBPOLYAMSYN-PWY
59,PWY-6232
60,PWY-3385
61,LEU-DEG2-PWY
62,PWY1F-353
63,PWY-5175
64,PWY-6556
65,PWY-735
66,PWY-84
67,PWY-5934
68,PROSYN-PWY
69,PWY-1581
70,PWY-6122
71,PWY-1822
72,PWY-6596
73,PWY-5410
74,PWY-5957
75,PWY-6619
76,VALDEG-PWY
77,PWY-6952
78,PWY-4203
79,PWY0-1319
80,PWY-4302
81,PWY-6792
82,PWY-5788
83,PWY-66
84,SAM-PWY
85,PWY-2
86,PWY-6624
87,ALANINE-SYN2-PWY
88,THIOREDOX-PWY
89,ARGSPECAT-PWY
90,PWYQT-4472
91,GLUTSYNIII-PWY
92,PWYQT-4427
93,PWY-4661
94,PWY-5377
95,PWY-5936
96,PWY-4321
97,PWY-5120
98,PWY-5871
99,PWY-1061
100,PWY-283
101,ARGASEDEG-PWY
102,MANNCAT-PWY
103,METHIONINE-DEG1-PWY
104,PWY-621
105,ARGSYNBSUB-PWY
106,PWY-2161B
107,PWY-702
108,PWY-6233
109,PWY-6908
110,PWY0-1535
111,PWY-762
112,PWY-7185
113,PWY-101
114,PWY-3881
115,PWY-2161
116,PWY-7184
117,PWY-3801
118,TRIGLSYN-PWY
119,PWY-6051
120,PWY-5070
121,PWY-401
122,PWY-5453
123,PWY-5340
124,PWYQT-4476
125,PWY-2301
126,PWY-6352
127,PWY-6964
128,HISTSYN-PWY
129,PWY-5107
130,PWY-1801
131,PWY-6930
132,PWY-6931
133,PWY-6442
134,PWY-5098
135,PWY-6623
136,PWY-6549
137,PWY-6842
138,PWY-3561
139,PWY-5152
140,PWY-5041
141,PWY4FS-4
142,PROUT-PWY
143,PWY-7101
144,PWY-6724
145,PWY-5973
146,PWY-6132
147,PWY-6730
148,PWY-6773
149,PWY-5142
150,PWY-4
151,PWY-1187
152,PWY-7432
153,PWY-5063
154,PWY-5083
155,PWY-5366
156,PWY-1121
157,PWY-5686
158,PWY-5287
159,PWY-5046
160,PWY-7250
161,PWY-6804
162,PWY0-1313
163,PWY-5172
164,PWY-5268
165,PWY4FS-2
166,PWY-701
167,PWY-6351
168,ALANINE-DEG3-PWY
169,PWY-6710
170,PWY0-1021
171,PWY-6803
172,UDPNACETYLGALSYN-PWY
173,PWY-5147
174,PWY-7356
175,PWY-6577
176,PWY-5992
177,LIPASYN-PWY
178,PWY0-522
179,PWY-6498
180,PWY-695
181,PWY-6303
182,PWY0-501
183,PWYQT-4450
184,CALVIN-PWY
185,PWY-7158
186,PWY-699
187,PWY-5640
188,PWY-5084
189,PWY-6666
190,PWY-5945
191,PWY-6613
192,PWY-3462
193,PWY-5690
194,PWYQT-4429
195,LIPAS-PWY
196,PWY-6040
197,GLUCONEO-PWY
198,PWY-6543
199,PWY-5123
200,PWY-5998
201,PWY-7219
202,SERSYN-PWY
203,PWY-2881
204,PWY-282
205,PWY-7199
206,PWY-6147
207,PWY-2501
208,PWY-6304
209,PWY-3461
210,PWY-4841
211,PWY-7267
212,ETOH-ACETYLCOA-ANA-PWY
213,PWY-5905
214,PWY-1269
215,PWY-882
216,PWY-2021
217,PWY-2724
218,PWY-40
219,PWY490-4
220,PWY4FS-11
221,PWY-3101
222,PWY-5060
223,PWY-5079
224,PWY-7416
225,PWY-5136
226,PWY-6369
227,PWY-5137
228,PWY-2582
229,PWY-5160
230,PWY-112
231,PWY-5342
232,PWY-5321
233,PWY-5349
234,PWY-5484
235,PWY-5486
236,PWY-7388
237,PWY-6
238,PWY-2902
239,PWY-6406
240,PWY-5980
241,PWY-6430
242,PWY-6618
243,PWY-6717
244,PWY-6909
245,PWY-5168
246,XYLCAT-PWY
247,PWY-981
248,PWY-5434
249,PWY-5080
250,PWY-3982
251,PWY-7036
252,PWY-4101
253,TRESYN-PWY
254,PWY-7140
255,PWY-6756
256,PWY-6599
257,PWY-6825
258,PWY-1881
259,PYRUVDEHYD-PWY
260,PWY-5921
261,PWY-5989
262,PWY-5138
263,PWY66-423
264,GLYCOLYSIS
265,PWY-4261
266,PWY-2821
267,PWY-5035
268,PWY-6275
269,PWY-6527
270,GLUTAMATE-DEG1-PWY
271,PWY-3341
272,PWY-5115
273,PWY-5034
274,PWY-5997
275,CITRULBIO-PWY
276,PWY-1422
277,PWY-861
278,PWY-7071
